condition,outcome,family,forecast_model,prompt_variant,prompt_ate,n_completions
Extreme weather predictions,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.3,1
Extreme weather predictions,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.3,1
Extreme weather predictions,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.3,1
Extreme weather predictions,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Extreme weather predictions,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.75,1
Extreme weather predictions,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.6,1
Extreme weather predictions,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-0.5,1
Extreme weather predictions,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.05,1
Extreme weather predictions,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Extreme weather predictions,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Extreme weather predictions,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Extreme weather predictions,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Extreme weather predictions,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Extreme weather predictions,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.45,1
Extreme weather predictions,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Extreme weather predictions,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Former skeptics,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Former skeptics,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Former skeptics,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Former skeptics,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1,1
Former skeptics,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Former skeptics,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Former skeptics,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
Former skeptics,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Former skeptics,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Former skeptics,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Former skeptics,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Former skeptics,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Former skeptics,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.1,1
Former skeptics,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Former skeptics,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Former skeptics,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Former skeptics,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Former skeptics,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
Former skeptics,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Former skeptics,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Former skeptics,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Former skeptics,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.9,1
Former skeptics,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.2,1
Former skeptics,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Former skeptics,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Former skeptics,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.1,1
Funding,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Funding,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.75,1
Funding,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Funding,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1,1
Funding,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Funding,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Funding,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.25,1
Funding,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Funding,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Funding,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.75,1
Funding,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
Funding,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.75,1
Funding,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.75,1
Funding,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Funding,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.2,1
Funding,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Funding,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Funding,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.05,1
Funding,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Funding,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.2,1
Funding,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.002,1
Funding,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Funding,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Funding,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Funding,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Funding,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.6,1
High public trust,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
High public trust,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
High public trust,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
High public trust,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1.5,1
High public trust,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
High public trust,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
High public trust,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
High public trust,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
High public trust,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
High public trust,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
High public trust,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
High public trust,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,2,1
High public trust,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,2.5,1
High public trust,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
High public trust,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
High public trust,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
High public trust,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
High public trust,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
High public trust,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
High public trust,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.6,1
High public trust,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
High public trust,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
High public trust,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
High public trust,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
High public trust,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.8,1
High public trust,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.5,1
Interview Prof. Maraun,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Interview Prof. Maraun,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Interview Prof. Maraun,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Interview Prof. Maraun,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1,1
Interview Prof. Maraun,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Interview Prof. Maraun,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Interview Prof. Maraun,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Interview Prof. Maraun,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Interview Prof. Maraun,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Interview Prof. Maraun,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Interview Prof. Maraun,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Interview Prof. Maraun,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Interview Prof. Maraun,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Interview Prof. Maraun,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Interview Prof. Maraun,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Interview Prof. Maraun,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Interview Prof. Maraun,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-0.5,1
Interview Prof. Maraun,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.05,1
Interview Prof. Maraun,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Interview Prof. Maraun,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.2,1
Interview Prof. Maraun,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Interview Prof. Maraun,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Interview Prof. Maraun,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Interview Prof. Maraun,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.2,1
Interview Prof. Maraun,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Interview Prof. Maraun,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Interview Prof. Sebille,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Interview Prof. Sebille,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Interview Prof. Sebille,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Interview Prof. Sebille,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-1.5,1
Interview Prof. Sebille,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Interview Prof. Sebille,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Interview Prof. Sebille,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
Interview Prof. Sebille,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Interview Prof. Sebille,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Interview Prof. Sebille,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Interview Prof. Sebille,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Interview Prof. Sebille,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.3,1
Interview Prof. Sebille,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.4,1
Interview Prof. Sebille,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Interview Prof. Sebille,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Interview Prof. Sebille,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Interview Prof. Sebille,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Interview Prof. Sebille,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.05,1
Interview Prof. Sebille,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Interview Prof. Sebille,inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Interview Prof. Sebille,newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Interview Prof. Sebille,policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Interview Prof. Sebille,policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Interview Prof. Sebille,policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.3,1
Interview Prof. Sebille,trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.2,1
Interview Prof. Sebille,trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Measurement & modeling (1),behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Measurement & modeling (1),belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Measurement & modeling (1),concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Measurement & modeling (1),distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-0.7,1
Measurement & modeling (1),donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Measurement & modeling (1),funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Measurement & modeling (1),inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.9,1
Measurement & modeling (1),newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Measurement & modeling (1),policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Measurement & modeling (1),policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.1,1
Measurement & modeling (1),policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Measurement & modeling (1),trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Measurement & modeling (1),trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.9,1
Measurement & modeling (1),behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Measurement & modeling (1),belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Measurement & modeling (1),concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Measurement & modeling (1),distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-0.5,1
Measurement & modeling (1),donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
Measurement & modeling (1),funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.6,1
Measurement & modeling (1),inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Measurement & modeling (1),newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Measurement & modeling (1),policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Measurement & modeling (1),policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Measurement & modeling (1),policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.4,1
Measurement & modeling (1),trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Measurement & modeling (1),trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Measurement & modeling (2),behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Measurement & modeling (2),belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Measurement & modeling (2),concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Measurement & modeling (2),distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-0.7,1
Measurement & modeling (2),donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Measurement & modeling (2),funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.9,1
Measurement & modeling (2),inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
Measurement & modeling (2),newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.005,1
Measurement & modeling (2),policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.7,1
Measurement & modeling (2),policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.5,1
Measurement & modeling (2),policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.4,1
Measurement & modeling (2),trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1,1
Measurement & modeling (2),trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.1,1
Measurement & modeling (2),behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Measurement & modeling (2),belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Measurement & modeling (2),concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Measurement & modeling (2),distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,-1.5,1
Measurement & modeling (2),donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.1,1
Measurement & modeling (2),funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1,1
Measurement & modeling (2),inst_trust_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.5,1
Measurement & modeling (2),newsletter_signup,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.005,1
Measurement & modeling (2),policy_general,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.8,1
Measurement & modeling (2),policy_role_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,2,1
Measurement & modeling (2),policy_specific_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,0.7,1
Measurement & modeling (2),trust_multidimensional,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.8,1
Measurement & modeling (2),trust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v2,1.7,1
Model accuracy,behavior_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.5,1
Model accuracy,belief_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,1.2,1
Model accuracy,concern_mean,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.8,1
Model accuracy,distrust_post,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,-0.7,1
Model accuracy,donation_ams,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.1,1
Model accuracy,funding_perceptions,Google,gemini-2.5-flash-lite,tier3_direct_forecast_v1,0.6,1
